Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Login jmeter333,1,1336,1336,1336,1336,1336,1336,1336,0.00%,.7,12.9,0.00
Login Test11,1,1330,1330,1330,1330,1330,1330,1330,0.00%,.8,12.9,0.00
Login NewTest,1,362,362,362,362,362,362,362,0.00%,2.8,47.5,0.00
Login Slave,1,404,404,404,404,404,404,404,0.00%,2.5,42.6,0.00
Login Master,1,336,336,336,336,336,336,336,0.00%,3.0,51.0,0.00
Login docker,1,390,390,390,390,390,390,390,0.00%,2.6,44.1,0.00
Login grafana,1,427,427,427,427,427,427,427,0.00%,2.3,40.2,0.00
Login admin,1,326,326,326,326,326,326,326,0.00%,3.1,52.7,0.00
TOTAL,8,613,390,1330,1336,1336,326,1336,0.00%,.9,15.2,416.37
